xCoord,yCoord,releaseTime,duration,deadline,priority,required,timeWindows,dependencyTasks
26,15,246,39,7161,2,0,"[[(246, 581)], [(2388, 2662)], [(3248, 3508), (3851, 4163)], [], [(5823, 5901), (6929, 7161)]]",[]
27,50,438,67,3291,7,0,"[[(438, 677), (1074, 1193)], [(2008, 2128), (2638, 2851)], [(3080, 3291)], [], []]",[]
44,5,1656,52,6669,3,0,"[[], [(1656, 1793), (2544, 2854)], [(3894, 4058)], [(4654, 4774), (5523, 5654)], [(6408, 6669)]]",[]
11,24,1225,56,6738,3,0,"[[(1225, 1389)], [(1878, 2191), (2498, 2744)], [(3377, 3507), (3929, 4038)], [(4844, 4995), (5424, 5642)], [(5871, 6200), (6399, 6738)]]",[]
1,53,1829,86,7184,4,0,"[[], [(1829, 2113)], [], [], [(5778, 6087), (6997, 7184)]]",[]
41,4,844,88,5447,1,0,"[[(844, 1112)], [(1592, 1755)], [(3425, 3598), (3608, 3913)], [(4836, 5038), (5179, 5447)], []]",[]
13,11,381,3,6944,1,0,"[[(381, 653), (947, 1278)], [(2138, 2311)], [(2954, 3023), (4096, 4285)], [(5526, 5600)], [(6352, 6465), (6735, 6944)]]",[]
48,52,1282,55,1440,1,0,"[[(1282, 1440)], [], [], [], []]",[]
48,25,785,98,7200,9,0,"[[(785, 991)], [(1800, 2022)], [(3037, 3356), (3715, 3932)], [(5228, 5523)], [(6576, 6815), (6915, 7200)]]",[]
8,9,1941,15,5136,7,0,"[[], [(1941, 2053)], [], [(4596, 4919), (4932, 5136)], []]",[]
27,4,1128,31,6573,9,0,"[[(1128, 1357), (1387, 1438)], [(1488, 1643), (1665, 1932)], [(3065, 3261), (3273, 3411)], [(4490, 4720), (4866, 5083)], [(5763, 6084), (6280, 6573)]]",[]
19,56,2221,33,5736,7,0,"[[], [(2221, 2381), (2697, 2813)], [(3815, 4145)], [(4951, 5309), (5527, 5736)], []]",[]
45,56,3922,68,4110,4,0,"[[], [], [(3922, 4110)], [], []]",[]
59,1,1530,102,5051,10,0,"[[], [(1530, 1823), (2239, 2580)], [(3430, 3692), (3965, 4201)], [(4761, 5051)], []]",[]
5,17,1453,82,5538,10,0,"[[], [(1453, 1801), (2232, 2560)], [], [(5251, 5538)], []]",[]
15,52,104,75,6980,7,0,"[[(104, 458), (601, 817)], [(1501, 1738)], [], [], [(6800, 6980)]]",[]
0,30,438,80,4185,4,0,"[[(438, 683), (1275, 1395)], [], [(3096, 3283), (3947, 4185)], [], []]",[]
29,24,446,10,6814,3,0,"[[(446, 526), (851, 975)], [(2556, 2576), (2621, 2715)], [], [(4718, 4845)], [(6398, 6444), (6637, 6814)]]",[]
10,7,803,37,7124,4,0,"[[(803, 1036), (1121, 1309)], [], [], [], [(6715, 6861), (6932, 7124)]]",[]
56,58,2131,76,3957,6,0,"[[], [(2131, 2411)], [(3726, 3957)], [], []]",[]
27,6,6196,71,6421,651,1,"[[], [], [], [], [(6196, 6421)]]",[]
39,16,2129,34,2725,5,0,"[[], [(2129, 2190), (2414, 2725)], [], [], []]",[]
3,46,1799,64,6250,1,0,"[[], [(1799, 2150)], [(3144, 3400), (3405, 3666)], [], [(6088, 6250)]]",[]
