xCoord,yCoord,releaseTime,duration,deadline,priority,required,timeWindows,tasks Depended upon,name of Task,,,,Total Profit
0,0,3900,30,4020,5,0,"[[], [], [(3900, 4020)], [], [], [], []]",[],Dinner Wedn.,,,,
0,0,5340,30,5460,5,0,"[[], [], [], [(5340, 5460)], [], [], []]",[],Dinner Thurs,,,,
0,0,6780,30,6900,5,0,"[[], [], [], [], [(6780, 6900)], [], []]",[],Dinner Fri.,,,,
0,0,8220,30,8340,5,0,"[[], [], [], [], [], [(8220, 8340)], []]",[],Dinner Sat,,,,
0,0,9530,90,9780,10,0,"[[], [], [], [], [], [], [(9530, 9780)]]",[],Dinner Sunday,,,,
2,6,1,120,1430,10,0,"[[(500, 700), (900, 1200), (1300, 1430)], [], [], [], [], [], []]",[],Ed Studies Reading,,,,
2,6,2881,120,4310,10,0,"[[], [(3380, 3580), (3780, 4080), (4180, 4310)], [], [], [], [], []]",[],Ed Studies Reading,,,,
0,0,720,30,820,3,0,"[[(720, 820)], [], [], [], [], [], []]",[],Lunch Mon,,,,
0,0,2160,30,2260,3,0,"[[], [(2160, 2260)], [], [], [], [], []]",[],Lunch Tues,,,,
0,0,3600,30,3700,3,0,"[[], [], [(3600, 3700)], [], [], [], []]",[],Lunch Wed,,,,
0,0,5040,30,5140,3,0,"[[], [], [], [(5040, 5140)], [], [], []]",[],Lunch Thurs,,,,
0,0,6480,30,6580,3,0,"[[], [], [], [], [(6480, 6580)], [], []]",[],Lunch Fri,,,,
0,0,7920,30,8020,3,0,"[[], [], [], [], [], [(7920, 8020)], []]",[],Lunch Sat,,,,
0,0,9360,30,9460,3,0,"[[], [], [], [], [], [], [(9360, 9460)]]",[],Lunch Sun,,,,
0,0,540,20,640,4,0,"[[(540,640)], [], [], [], [], [], []]",[],Breakfast Mon,,,,
0,0,1980,20,2080,4,0,"[[], [(1980, 2080)], [], [], [], [], []]",[],Breakfast Tues,,,,
0,0,3420,20,3520,4,0,"[[], [], [(3420, 3520)], [], [], [], []]",[],Breakfast Wed,,,,
0,0,4860,20,4960,4,0,"[[], [], [], [(4860, 4960)], [], [], []]",[],Breakfast Thurs,,,,
0,0,6300,20,6400,4,0,"[[], [], [], [], [(6300, 6400)], [], []]",[],Breakfast Fri,,,,
0,0,7740,20,7840,4,0,"[[], [], [], [], [], [(7740, 7840)], []]",[],Breakfast Sat,,,,
0,0,9180,20,9280,4,0,"[[], [], [], [], [], [], [(9180, 9280)]]",[],Breakfast Sun,,,,
2,5,4020,60,4090,6,0,"[[], [], [(4020, 4090)], [], [], [], []]",[],Broomball,,,,
2,5,5520,60,5590,6,0,"[[], [], [], [(5520, 5590)], [], [], []]",[],Broomball,,,,
2.5,6,1,120,2870,7.5,0,"[[(720, 1430)], [(2100, 2870)], [], [], [], [], []]",[],Comps hw,,,,
2.5,6,1441,120,4310,7.5,0,"[[], [(2100, 2500), (2600, 2870)], [(3500, 4310)], [], [], [], []]",[],Comps hw,,,,
2.5,6,2881,120,5750,7.5,0,"[[], [], [(3500, 3700), (3800, 4310)], [(5000, 5750)], [], [], []]",[],Comps hw,,,,
2.5,6,4321,120,7190,7.5,0,"[[], [], [], [(5000, 5200), (5300, 5500)], [(6500, 7190)], [], []]",[],Comps hw,,,,
2.5,6,5761,120,10070,7.5,0,"[[], [], [], [], [(6500, 6700), (6800, 7000)], [(7700, 7900), (8000, 8600)], [(9000, 9400), (9500, 9750), (9800, 10000)]]",[],Comps hw,,,,
0,0,9000,30,9900,3,0,"[[], [], [], [], [], [], [(9000, 9900)]]",[],Phone Calls Home,,,,
0,0,9000,30,9900,3,0,"[[], [], [], [], [], [], [(9000, 9900)]]",[],Phone Calls to Sib1,,,,
0,0,9000,30,9900,3,0,"[[], [], [], [], [], [], [(9000, 9900)]]",[],Phone Calls to Sib2,,,,
2.5,6,1,180,4310,7,0,"[[(600, 1430)], [(2100, 2870)], [(3400, 4310)], [], [], [], []]",[],Cs Grading,,,,
2.5,6,4321,180,10070,7,0,"[[], [], [], [(5000, 5200), (5300, 5500)], [(6500, 7190)], [(7700, 7900), (8000, 8600)], [(9000, 9400), (9500, 9750), (9800, 10000)]]",[],Cs Grading,,,,
-3,0,1000,120,1400,1,0,"[[(1000, 1400)], [], [], [], [], [], []]",[],Friends ,,,,
-3,0,2400,120,2800,1,0,"[[], [(2400, 2800)], [], [], [], [], []]",[],Friends,,,,
-3,0,4000,120,4300,1,0,"[[], [], [(4000, 4300)], [], [], [], []]",[],Friends,,,,
-3,0,5400,120,5700,1,0,"[[], [], [], [(5400, 5700)], [], [], []]",[],Friends,,,,
-3,0,6800,120,7100,1,0,"[[], [], [], [], [(6800, 7100)], [], []]",[],Friends,,,,
0,0,8300,120,8600,1,0,"[[], [], [], [], [], [(8300, 8600)], []]",[],Friends,,,,
-3,0,9700,120,10000,1,0,"[[], [], [], [], [], [], [(9700, 10000)]]",[],Friends,,,,
0,0,1380,50,1439,1,0,"[[(1000, 1439)], [], [], [], [], [], []]",[],Xtra Hour of Sleep,,,,
0,0,2820,50,2879,1,0,"[[], [(2400, 2879)], [], [], [], [], []]",[],Xtra Hour of Sleep,,,,
0,0,4360,50,4319,1,0,"[[], [], [(4000, 4319)], [], [], [], []]",[],Xtra Hour of Sleep,,,,
0,0,5700,50,5759,1,0,"[[], [], [], [(5400, 5759)], [], [], []]",[],Xtra Hour of Sleep,,,,
0,0,7140,50,7199,1,0,"[[], [], [], [], [(6800, 7199)], [], []]",[],Xtra Hour of Sleep,,,,
0,0,8580,50,8639,1,0,"[[], [], [], [], [], [(8300, 8639)], []]",[],Xtra Hour of Sleep,,,,
0,0,10020,50,10079,1,0,"[[], [], [], [], [], [], [(9700, 10079)]]",[],Xtra Hour of Sleep,,,,
