Algorithm,Time Ran,Profit,Number Tasks Scheduled,Number of Required Tasks Schedules,Number of Optional Tasks Scheduled,Total Waiting Time,Total Working Time,Total Distance Traveled,Test Name,Number of Available Tasks,Number of Days,Average Duration of the Tasks,Average Number of Time Windows Per Task,Average Length of All Time Windows,Number of Available Release Tasks
GBOOBP,0.012570858001708984,4123.0,42,6,36,614.0,2070.0,1122,/test_baseline_2.csv,64,3,57.265625,2.78125,211,0
GPC,0.18842387199401855,3438.0,44,5,39,443.0,2453.0,1033,/test_baseline_2.csv,64,3,57.265625,2.78125,211,0
Pulse,300.26251697540283,4097.0,43,6,37,214.0,2471.0,1240,/test_baseline_2.csv,64,3,57.265625,2.78125,211,0
VNS,321.37414503097534,4149.0,48,6,42,296.0,2453.0,1134,/test_baseline_2.csv,64,3,57.265625,2.78125,211,0
TRI,300.0042588710785,4130.0,48,6,42,355.0,2420.0,1254,/test_baseline_2.csv,64,3,57.265625,2.78125,211,0
TBF,300.0101971626282,3433.0,43,5,38,388.0,2417.0,1124,/test_baseline_2.csv,64,3,57.265625,2.78125,211,0
IP,308.10115909576416,4164.0,51,6,45,193.0000000000034,2541.0,1392,/test_baseline_2.csv,64,3,57.265625,2.78125,211,0
GBOOBD,0.04655194282531738,4114.0,44,6,38,552.0,2445.0,1101,/test_baseline_3.csv,64,3,64.953125,2.859375,202,0
GBOFRT,0.0158538818359375,4150.0,42,6,36,627.0,2479.0,1040,/test_baseline_3.csv,64,3,64.953125,2.859375,202,0
GBOPOA,0.013582944869995117,4141.0,41,6,35,590.0,2332.0,1083,/test_baseline_3.csv,64,3,64.953125,2.859375,202,0
GBOOBP,0.013003110885620117,4150.0,42,6,36,627.0,2479.0,1040,/test_baseline_3.csv,64,3,64.953125,2.859375,202,0
GPC,0.18414998054504395,2787.0,39,4,35,675.0,2329.0,925,/test_baseline_3.csv,64,3,64.953125,2.859375,202,0
Pulse,300.25847697257996,3470.0,42,5,37,284.0,2535.0,1244,/test_baseline_3.csv,64,3,64.953125,2.859375,202,0
VNS,321.48674416542053,4150.0,42,6,36,391.0,2479.0,1040,/test_baseline_3.csv,64,3,64.953125,2.859375,202,0
TRI,300.00401496887207,4148.0,45,6,39,398.0,2526.0,1093,/test_baseline_3.csv,64,3,64.953125,2.859375,202,0
TBF,300.00605487823486,2794.0,40,4,36,607.0,2340.0,976,/test_baseline_3.csv,64,3,64.953125,2.859375,202,0
IP,308.0717329978943,4182.0,49,6,43,184.00000000000787,2819.0,1161,/test_baseline_3.csv,64,3,64.953125,2.859375,202,0
GBOOBD,0.3900880813598633,4100.0,44,6,38,573.0,2334.0,1222,/test_baseline_4.csv,64,3,61.6875,3.109375,205,0
GBOFRT,0.012891054153442383,4150.0,43,6,37,508.0,2271.0,1055,/test_baseline_4.csv,64,3,61.6875,3.109375,205,0
GBOPOA,0.012917041778564453,4155.0,42,6,36,650.0,2207.0,907,/test_baseline_4.csv,64,3,61.6875,3.109375,205,0
GBOOBP,0.01279902458190918,4150.0,43,6,37,508.0,2271.0,1055,/test_baseline_4.csv,64,3,61.6875,3.109375,205,0
GPC,0.18305206298828125,3466.0,43,5,38,442.0,2411.0,1181,/test_baseline_4.csv,64,3,61.6875,3.109375,205,0
Pulse,300.28639698028564,3479.0,44,5,39,165.0,2511.0,1312,/test_baseline_4.csv,64,3,61.6875,3.109375,205,0
VNS,324.344850063324,4163.0,45,6,39,263.0,2368.0,984,/test_baseline_4.csv,64,3,61.6875,3.109375,205,0
TRI,300.01157689094543,4150.0,45,6,39,455.0,2472.0,1061,/test_baseline_4.csv,64,3,61.6875,3.109375,205,0
TBF,300.00738191604614,3463.0,42,5,37,476.0,2372.0,1148,/test_baseline_4.csv,64,3,61.6875,3.109375,205,0
IP,307.81222105026245,4168.0,46,6,40,366.00000000000074,2534.0,1238,/test_baseline_4.csv,64,3,61.6875,3.109375,205,0
