Algorithm,Time Ran,Profit,Optional Profit,Tasks Scheduled,Required Tasks Scheduled,Optional Tasks Scheduled,Waiting Time,Working Time,Distance Traveled,Test Name,Available Tasks,Days,Average Duration of Tasks,Average Time Windows Per Task,Average Length of Time Windows,Available Release Tasks,VNS Incumbent Profit,intProg Optimal
GBOOBP,0.008131981,5400,192,42,8,34,445,2272,967,test_baseline_4.csv,64,3,62.625,2.875,213,0,,
GPC,0.116486073,2765,161,39,4,35,576,2165,1077,test_baseline_4.csv,64,3,62.625,2.875,213,0,,
VNS,301.6208289,5413,205,45,8,37,222,2414,1103,test_baseline_4.csv,64,3,62.625,2.875,213,0,5412,
TRI,300.0053618,5398,190,44,8,36,467,2375,1138,test_baseline_4.csv,64,3,62.625,2.875,213,0,,
IP,305.3758831,5439,231,48,8,40,113,2722,1225,test_baseline_4.csv,64,3,62.625,2.875,213,0,,FALSE
GBOOBD,0.021112919,5480,272,55,8,47,1184,3649,1750,test_fiveDay_4.csv,64,5,67.015625,3.953125,199,0,,
GBOFRT,0.00843811,5496,288,52,8,44,1340,3468,1580,test_fiveDay_4.csv,64,5,67.015625,3.953125,199,0,,
GBOPOA,0.008369923,5493,285,53,8,45,1055,3517,1610,test_fiveDay_4.csv,64,5,67.015625,3.953125,199,0,,
GBOOBP,0.008275032,5496,288,52,8,44,1340,3468,1580,test_fiveDay_4.csv,64,5,67.015625,3.953125,199,0,,
GPC,0.141170979,4814,257,51,7,44,1556,3214,1524,test_fiveDay_4.csv,64,5,67.015625,3.953125,199,0,,
VNS,301.6559761,5511,303,57,8,49,721,3743,1670,test_fiveDay_4.csv,64,5,67.015625,3.953125,199,0,5496,
TRI,300.0052121,5514,306,59,8,51,855,3933,1698,test_fiveDay_4.csv,64,5,67.015625,3.953125,199,0,,
IP,308.9373701,5439,231,45,8,37,2318,2807,1298,test_fiveDay_4.csv,64,5,67.015625,3.953125,199,0,,FALSE
GBOOBD,0.022308111,5268,60,20,8,12,78,795,563,test_oneDay_4.csv,64,1,55.90625,1.484375,218,0,,
GBOFRT,0.007766962,5286,78,18,8,10,103,771,553,test_oneDay_4.csv,64,1,55.90625,1.484375,218,0,,
GBOPOA,0.007653952,3999,93,19,6,13,206,705,493,test_oneDay_4.csv,64,1,55.90625,1.484375,218,0,,
GBOOBP,0.007861853,5286,78,18,8,10,103,771,553,test_oneDay_4.csv,64,1,55.90625,1.484375,218,0,,
GPC,0.087182999,1407,105,21,2,19,114,774,525,test_oneDay_4.csv,64,1,55.90625,1.484375,218,0,,
VNS,302.3951199,5295,87,22,8,14,11,810,583,test_oneDay_4.csv,64,1,55.90625,1.484375,218,0,5286,
TRI,300.0042179,3986,80,20,6,14,150,690,511,test_oneDay_4.csv,64,1,55.90625,1.484375,218,0,,
IP,301.900089,4638,81,22,7,15,3,824,587,test_oneDay_4.csv,64,1,55.90625,1.484375,218,0,,FALSE
GBOOBD,0.02101779,53841,1833,44,8,36,386,2418,1175,test_oneHundredPriority_4.csv,64,3,67.859375,2.84375,206,0,,
GBOFRT,0.008230925,53851,1843,36,8,28,733,2215,999,test_oneHundredPriority_4.csv,64,3,67.859375,2.84375,206,0,,
GBOPOA,0.008362055,54070,2062,40,8,32,458,2392,1087,test_oneHundredPriority_4.csv,64,3,67.859375,2.84375,206,0,,
GBOOBP,0.008150101,53851,1843,36,8,28,733,2215,999,test_oneHundredPriority_4.csv,64,3,67.859375,2.84375,206,0,,
GPC,0.111822128,34206,1701,38,5,33,636,2333,897,test_oneHundredPriority_4.csv,64,3,67.859375,2.84375,206,0,,
VNS,300.7102981,54195,2187,44,8,36,70,2631,1114,test_oneHundredPriority_4.csv,64,3,67.859375,2.84375,206,0,54070,
TRI,300.0071371,53872,1864,41,8,33,521,2443,1035,test_oneHundredPriority_4.csv,64,3,67.859375,2.84375,206,0,,
IP,307.536839,54123,2115,42,8,34,146,2673,1133,test_oneHundredPriority_4.csv,64,3,67.859375,2.84375,206,0,,FALSE
GBOOBD,0.018414974,5373,165,38,8,30,347,1942,1651,test_oneHundredTwentyLocation_4.csv,64,3,60.90625,3.1875,205,0,,
GBOFRT,0.008535147,5402,194,35,8,27,600,1875,1372,test_oneHundredTwentyLocation_4.csv,64,3,60.90625,3.1875,205,0,,
GBOPOA,0.008272171,5395,187,36,8,28,527,1938,1424,test_oneHundredTwentyLocation_4.csv,64,3,60.90625,3.1875,205,0,,
GBOOBP,0.008501053,5402,194,35,8,27,600,1875,1372,test_oneHundredTwentyLocation_4.csv,64,3,60.90625,3.1875,205,0,,
GPC,0.111083031,1467,165,35,2,33,429,2219,1331,test_oneHundredTwentyLocation_4.csv,64,3,60.90625,3.1875,205,0,,
VNS,301.8178518,5410,202,38,8,30,165,2099,1463,test_oneHundredTwentyLocation_4.csv,64,3,60.90625,3.1875,205,0,5402,
TRI,300.0086839,5398,190,37,8,29,300,1840,1630,test_oneHundredTwentyLocation_4.csv,64,3,60.90625,3.1875,205,0,,
IP,305.424654,5428,220,40,8,32,166,2121,1730,test_oneHundredTwentyLocation_4.csv,64,3,60.90625,3.1875,205,0,,FALSE
GBOOBD,0.019145012,560,32,40,8,32,530,2386,947,test_onePriority_4.csv,64,3,65.640625,3.34375,213,0,,
GBOFRT,0.008728981,560,32,40,8,32,530,2386,947,test_onePriority_4.csv,64,3,65.640625,3.34375,213,0,,
GBOPOA,0.009071112,560,32,40,8,32,530,2425,1050,test_onePriority_4.csv,64,3,65.640625,3.34375,213,0,,
GBOOBP,0.008707047,560,32,40,8,32,530,2386,947,test_onePriority_4.csv,64,3,65.640625,3.34375,213,0,,
GPC,0.130840063,238,40,43,3,40,520,2333,1155,test_onePriority_4.csv,64,3,65.640625,3.34375,213,0,,
VNS,301.8017199,562,34,42,8,34,120,2508,1018,test_onePriority_4.csv,64,3,65.640625,3.34375,213,0,560,
TRI,300.0094059,561,33,41,8,33,526,2493,969,test_onePriority_4.csv,64,3,65.640625,3.34375,213,0,,
IP,307.0939989,566,38,46,8,38,279,2571,1190,test_onePriority_4.csv,64,3,65.640625,3.34375,213,0,,FALSE
GBOOBD,0.094437122,20884,228,54,16,38,287,2389,1420,test_oneTwentyEightTask_4.csv,128,3,60.9609375,3.046875,209,0,,
GBOFRT,0.024720907,20937,281,52,16,36,414,2374,1335,test_oneTwentyEightTask_4.csv,128,3,60.9609375,3.046875,209,0,,
GBOPOA,0.025779963,20956,300,54,16,38,329,2465,1342,test_oneTwentyEightTask_4.csv,128,3,60.9609375,3.046875,209,0,,
GBOOBP,0.024638176,20937,281,52,16,36,414,2374,1335,test_oneTwentyEightTask_4.csv,128,3,60.9609375,3.046875,209,0,,
GPC,0.531877995,11875,256,55,9,46,300,2418,1414,test_oneTwentyEightTask_4.csv,128,3,60.9609375,3.046875,209,0,,
VNS,302.5350301,20969,313,57,16,41,193,2548,1343,test_oneTwentyEightTask_4.csv,128,3,60.9609375,3.046875,209,0,20956,
TRI,300.0116911,17046,263,53,13,40,256,2570,1323,test_oneTwentyEightTask_4.csv,128,3,60.9609375,3.046875,209,0,,
IP,330.188307,10549,221,42,8,34,549,2122,1069,test_oneTwentyEightTask_4.csv,128,3,60.9609375,3.046875,209,0,,FALSE
GBOOBD,0.048169851,5420,212,44,8,36,516,2183,1187,test_oneWindow_4.csv,64,3,60.15625,2.109375,220,0,,
GBOFRT,0.008027792,5426,218,39,8,31,629,1983,1173,test_oneWindow_4.csv,64,3,60.15625,2.109375,220,0,,
GBOPOA,0.007801056,5420,212,40,8,32,770,1881,1255,test_oneWindow_4.csv,64,3,60.15625,2.109375,220,0,,
GBOOBP,0.007930994,5426,218,39,8,31,629,1983,1173,test_oneWindow_4.csv,64,3,60.15625,2.109375,220,0,,
GPC,0.109244108,2170,217,39,3,36,707,1895,1154,test_oneWindow_4.csv,64,3,60.15625,2.109375,220,0,,
VNS,301.4483969,5443,235,44,8,36,110,2247,1229,test_oneWindow_4.csv,64,3,60.15625,2.109375,220,0,5426,
TRI,300.002315,5434,226,46,8,38,570,2211,1220,test_oneWindow_4.csv,64,3,60.15625,2.109375,220,0,,
IP,305.335156,5470,262,50,8,42,216,2581,1303,test_oneWindow_4.csv,64,3,60.15625,2.109375,220,0,,FALSE
